Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",109.032000,-88.646000,0.000000,top
"C2","10u","C_0805_2012Metric",123.698000,-72.644000,-90.000000,top
"C3","100n","C_0603_1608Metric",127.508000,-72.710000,90.000000,top
"C4","2u2","C_0805_2012Metric",125.730000,-72.644000,-90.000000,top
"C5","10n","C_0603_1608Metric",156.972000,-111.506000,90.000000,top
"C6","10n","C_0603_1608Metric",124.968000,-107.392000,90.000000,top
"C7","100n","C_0603_1608Metric",133.350000,-69.850000,180.000000,top
"C8","1u","C_0603_1608Metric",134.112000,-80.010000,180.000000,top
"C9","10u","C_0805_2012Metric",134.178000,-76.708000,180.000000,top
"C10","100n","C_0603_1608Metric",134.112000,-78.486000,0.000000,top
"C11","1u","C_0603_1608Metric",153.957500,-74.422000,0.000000,top
"C12","1u","C_0603_1608Metric",153.791500,-72.688000,180.000000,top
"C13","10u","C_0603_1608Metric",167.432500,-73.419000,90.000000,top
"C14","1u","C_0603_1608Metric",165.908500,-73.419000,90.000000,top
"C15","220p","C_0603_1608Metric",168.956500,-73.419000,90.000000,top
"C16","220p","C_0603_1608Metric",169.718500,-70.371000,-90.000000,top
"C17","10n","C_0603_1608Metric",133.604000,-114.630000,90.000000,top
"C18","10n","C_0603_1608Metric",124.714000,-114.795000,90.000000,top
"C19","10n","C_0603_1608Metric",133.858000,-107.429000,90.000000,top
"C20","10n","C_0603_1608Metric",142.748000,-107.518000,90.000000,top
"C21","10n","C_0603_1608Metric",143.002000,-114.821000,90.000000,top
"C22","10n","C_0603_1608Metric",151.892000,-114.758000,90.000000,top
"C26","10n","C_0603_1608Metric",148.590000,-107.709000,90.000000,top
"D1","D_MM1Z15","D_SOD-123",109.728000,-90.932000,0.000000,top
"D2","D_TVS","D_SOD-323",122.936000,-107.633000,90.000000,top
"D3","D_B5819W","D_SOD-123",129.540000,-75.438000,180.000000,top
"D4","D_TVS","D_SOD-323",159.004000,-111.760000,90.000000,top
"D5","D_TVS","D_SOD-323",174.752000,-95.250000,-90.000000,top
"D6","D_TVS","D_SOD-323",172.466000,-95.250000,-90.000000,top
"D7","D_B5819W","D_SOD-123",162.306000,-91.948000,90.000000,top
"D12","D_TVS","D_SOD-323",131.572000,-114.837000,90.000000,top
"D13","D_TVS","D_SOD-323",122.682000,-115.062000,90.000000,top
"D14","D_TVS","D_SOD-323",131.826000,-107.696000,90.000000,top
"D15","D_TVS","D_SOD-323",140.716000,-107.759000,90.000000,top
"D16","D_TVS","D_SOD-323",140.970000,-115.062000,90.000000,top
"D17","D_TVS","D_SOD-323",149.860000,-114.999000,90.000000,top
"D21","D_TVS","D_SOD-323",150.622000,-107.950000,90.000000,top
"FB1","Ferrite","L_0805_2012Metric",121.666000,-72.663500,90.000000,top
"FB3","Ferrite","L_0805_2012Metric",166.878000,-75.946000,0.000000,top
"FB4","Ferrite","L_0805_2012Metric",166.971000,-70.866000,0.000000,top
"J1","RJ45-FLAPS","RJ45_Amphenol_RJHSE5380",109.853000,-111.510000,90.000000,top
"J2","RJ12-FLAPS","RJ12_Amphenol_54601",163.426000,-113.660000,90.000000,top
"J3","HEADER_4","PinHeader_1x04_P1.27mm_Vertical",178.816000,-80.010000,0.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",176.276000,-75.692000,90.000000,top
"J5","RJ45-CAN","RJ45_Amphenol_RJHSE5380",109.853000,-80.776000,90.000000,top
"J6","HEADER_4","PinHeader_1x04_P1.27mm_Vertical",178.816000,-98.176000,0.000000,top
